Time,Signal
0.0,0.28565359480026037
1.0090817356205852e-09,0.2895358398895782
2.0181634712411704e-09,0.2926810050946505
3.0272452068617556e-09,0.2950712302326543
4.036326942482341e-09,0.2966908039941117
5.0454086781029255e-09,0.2975262194719207
6.054490413723511e-09,0.2975662253933013
7.063572149344097e-09,0.29680187263243474
8.072653884964682e-09,0.29522655573935425
9.081735620585266e-09,0.2928360493766421
1.0090817356205851e-08,0.2896285397223938
1.1099899091826438e-08,0.2856046510903924
1.2108980827447022e-08,0.280767468255479
1.3118062563067607e-08,0.27512255528032237
1.4127144298688194e-08,0.26867797205867955
1.5136226034308778e-08,0.26144429038051253
1.6145307769929363e-08,0.25343461218233554
1.7154389505549948e-08,0.2446645939286143
1.8163471241170533e-08,0.23515248303846742
1.9172552976791117e-08,0.22491917537447895
2.0181634712411702e-08,0.2139883078369774
2.119071644803229e-08,0.2023864084938161
2.2199798183652875e-08,0.19014314112512232
2.320887991927346e-08,0.17729170686027637
2.4217961654894045e-08,0.16386951352594523
2.522704339051463e-08,0.14991931656928784
2.6236125126135214e-08,0.13549122652351359
2.72452068617558e-08,0.12064639412976923
2.8254288597376387e-08,0.10546415688859859
2.9263370332996972e-08,0.09005690023871088
3.0272452068617557e-08,0.07460378263574362
3.128153380423814e-08,0.059435801440595785
3.2290615539858726e-08,0.04527562352881301
3.3299697275479314e-08,0.03393385643981868
3.4308779011099896e-08,0.029429007085941754
3.5317860746720484e-08,0.034876647683864934
3.6326942482341065e-08,0.04710849174618094
3.7336024217961653e-08,0.062329955194359195
3.8345105953582235e-08,0.07885320759754144
3.935418768920282e-08,0.09599517089715567
4.0363269424823404e-08,0.11343551083389922
4.137235116044399e-08,0.13099528798336432
4.238143289606458e-08,0.14855772547367768
4.339051463168516e-08,0.1660365337177764
4.439959636730575e-08,0.1833618687355001
4.540867810292633e-08,0.2004735590044638
4.641775983854692e-08,0.2173176156908954
4.74268415741675e-08,0.23384434389134404
4.843592330978809e-08,0.25000728563945185
4.944500504540868e-08,0.2657626183071307
5.045408678102926e-08,0.2810688132996258
5.146316851664985e-08,0.29588644874503794
5.247225025227043e-08,0.31017811568998216
5.3481331987891016e-08,0.3239083820346641
5.44904137235116e-08,0.3370437923198138
5.5499495459132186e-08,0.34955288954839925
